,MSA,Year,Total,Estimated,Rate
348,"Bend, OR ",2006,2,2,1.4
349,"Bend, OR ",2007,0,0,0
350,"Bend, OR ",2008,0,0,0
351,"Bend, OR ",2009,2,2,1.2
352,"Bend, OR ",2010,7,7,4.3
353,"Bend, OR ",2011,2,2,1.3
354,"Bend-Redmond, OR ",2013,3,3,1.8
355,"Bend-Redmond, OR ",2014,0,0,0
356,"Bend-Redmond, OR ",2015,3,3,1.7
357,"Bend-Redmond, OR ",2016,2,2,1.1
358,"Bethesda-Frederick-Gaithersburg, MD M.D.",2007,27,27,2.3
359,"Bethesda-Frederick-Rockville, MD M.D.",2008,25,25,2.1
360,"Bethesda-Gaithersburg-Frederick, MD M.D.",2006,27,27,2.3
361,"Bethesda-Rockville-Frederick, MD M.D.",2009,22,22,1.8
362,"Bethesda-Rockville-Frederick, MD M.D.",2010,23,23,1.9
363,"Bethesda-Rockville-Frederick, MD M.D.",2011,18,18,1.5
364,"Billings, MT ",2006,3,3,2
365,"Billings, MT ",2007,2,2,1.3
366,"Billings, MT ",2008,3,3,2
367,"Billings, MT ",2009,3,3,2
368,"Billings, MT ",2010,3,3,1.9
369,"Billings, MT ",2011,3,3,1.9
370,"Billings, MT ",2012,3,3,1.9
371,"Billings, MT ",2013,4,4,2.4
372,"Billings, MT ",2014,12,12,7.2
373,"Billings, MT ",2015,10,10,5.9
374,"Billings, MT ",2016,3,3,1.8
375,"Binghamton, NY ",2006,6,6,2.4
376,"Binghamton, NY ",2007,4,4,1.6
377,"Binghamton, NY ",2008,2,2,0.8
378,"Binghamton, NY ",2009,17,17,7
379,"Binghamton, NY ",2010,6,6,2.5
380,"Binghamton, NY ",2011,3,3,1.2
381,"Binghamton, NY ",2012,7,7,2.8
382,"Binghamton, NY ",2013,8,8,3.2
383,"Binghamton, NY ",2014,4,4,1.6
384,"Binghamton, NY ",2015,7,7,2.8
385,"Binghamton, NY ",2016,6,6,2.5
386,"Birmingham-Hoover, AL ",2006,132,138,12.5
387,"Birmingham-Hoover, AL ",2007,121,130,11.7
388,"Birmingham-Hoover, AL ",2008,113,115,10.3
389,"Birmingham-Hoover, AL ",2009,103,105,9.3
390,"Birmingham-Hoover, AL ",2011,99,101,8.9
391,"Birmingham-Hoover, AL ",2012,105,107,9.4
392,"Birmingham-Hoover, AL ",2013,91,93,8.2
393,"Birmingham-Hoover, AL ",2014,85,89,7.8
394,"Birmingham-Hoover, AL ",2015,125,127,11.1
395,"Bismarck, ND ",2006,2,2,2
396,"Bismarck, ND ",2007,1,1,1
397,"Bismarck, ND ",2008,2,2,1.9
398,"Bismarck, ND ",2009,3,3,2.8
399,"Bismarck, ND ",2010,2,2,1.8
400,"Bismarck, ND ",2011,3,3,2.7
401,"Bismarck, ND ",2012,4,4,3.3
402,"Bismarck, ND ",2013,3,3,2.4
403,"Bismarck, ND ",2014,3,3,2.4
404,"Bismarck, ND ",2015,4,4,3.1
405,"Bismarck, ND ",2016,3,3,2.3
406,"Blacksburg-Christiansburg-Radford, VA ",2006,8,8,5.2
407,"Blacksburg-Christiansburg-Radford, VA ",2007,32,32,21.2
408,"Blacksburg-Christiansburg-Radford, VA ",2008,6,6,3.8
409,"Blacksburg-Christiansburg-Radford, VA ",2009,8,8,5
410,"Blacksburg-Christiansburg-Radford, VA ",2010,5,5,3.1
411,"Blacksburg-Christiansburg-Radford, VA ",2011,3,3,1.8
412,"Blacksburg-Christiansburg-Radford, VA ",2012,2,2,1.1
413,"Blacksburg-Christiansburg-Radford, VA ",2013,2,2,1.1
414,"Blacksburg-Christiansburg-Radford, VA ",2014,8,8,4.4
415,"Blacksburg-Christiansburg-Radford, VA ",2016,5,5,2.8
416,"Bloomington, IL ",2012,1,1,0.5
417,"Bloomington, IL ",2013,4,4,2.1
418,"Bloomington, IL ",2014,3,3,1.6
419,"Bloomington, IL ",2015,0,0,0
420,"Bloomington, IL ",2016,3,3,1.6
421,"Bloomington, IN ",2006,4,4,2.2
422,"Bloomington, IN ",2007,4,4,2.2
423,"Bloomington, IN ",2008,4,4,2.2
424,"Bloomington, IN ",2009,3,3,1.6
425,"Bloomington, IN ",2010,4,4,2.1
426,"Bloomington, IN ",2011,6,6,3.1
427,"Bloomington, IN ",2012,4,4,2.5
428,"Bloomington, IN ",2013,3,3,1.8
429,"Bloomington, IN ",2014,1,1,0.6
430,"Bloomington, IN ",2015,3,3,1.8
431,"Bloomington, IN ",2016,4,5,3
432,"Bloomington-Normal, IL ",2010,1,1,0.6
433,"Bloomington-Normal, IL ",2011,2,2,1.2
434,"Bloomsburg-Berwick, PA ",2012,2,2,2.3
435,"Bloomsburg-Berwick, PA ",2013,1,1,1.2
436,"Bloomsburg-Berwick, PA M.S.A",2015,1,1,1.2
437,"Boise City, ID ",2012,7,7,1.1
438,"Boise City, ID ",2013,6,6,0.9
439,"Boise City, ID ",2014,11,11,1.7
440,"Boise City, ID ",2015,12,12,1.8
441,"Boise City, ID ",2016,17,17,2.5
442,"Boise City-Nampa, ID ",2006,15,15,2.7
443,"Boise City-Nampa, ID ",2007,21,21,3.6
444,"Boise City-Nampa, ID ",2008,5,5,0.8
445,"Boise City-Nampa, ID ",2009,10,10,1.6
446,"Boise City-Nampa, ID ",2010,10,10,1.6
447,"Boise City-Nampa, ID ",2011,8,8,1.3
448,"Boston, MA M.D.",2013,61,62,3.2
449,"Boston, MA M.D.1",2012,71,71,3.7
450,"Boston, MA M.D.4",2016,58,59,3
451,"Boston-Cambridge-Newton, MA-NH ",2012,95,95,2.1
452,"Boston-Cambridge-Newton, MA-NH ",2013,85,86,1.8
453,"Boston-Cambridge-Newton, MA-NH ",2016,88,89,1.9
454,"Boston-Cambridge-Quincy, MA-NH ",2007,123,124,2.8
455,"Boston-Cambridge-Quincy, MA-NH ",2008,116,117,2.6
456,"Boston-Cambridge-Quincy, MA-NH ",2009,111,111,2.4
457,"Boston-Cambridge-Quincy, MA-NH ",2010,158,158,3.5
458,"Boston-Cambridge-Quincy, MA-NH ",2011,127,129,2.8
459,"Boston-Quincy, MA M.D.",2007,93,94,5.1
