GEOID,MSA,year,pct_enroll_public,pct_enroll_private,pct5_9_enroll,pct10_14_enroll,pct15_17_enroll,pct18_19_enroll
3100000US11100,11100,2009,90.09999999999999,9.9,49.6,96.40000000000001,99.40000000000001,96.7
310M100US11100,11100,2010,93.90000000000001,6.1,96.8,98,94.2,52.6
310M100US11100,11100,2011,94,6,92.09999999999999,98.5,97.59999999999999,64
310M100US11100,11100,2012,93.2,6.8,95.59999999999999,98.09999999999999,92.3,73.40000000000001
310M200US11100,11100,2013,92.40000000000001,7.6,93.8,98.09999999999999,96.8,69.59999999999999
310M200US11100,11100,2014,92.09999999999999,7.9,96.5,98.59999999999999,98.2,71.2
310M200US11100,11100,2015,90.59999999999999,9.4,94.59999999999999,99.7,98.09999999999999,71.5
310M300US11100,11100,2016,91.90000000000001,8.1,96.40000000000001,98.40000000000001,97.5,66
3100000US11180,11180,2006,96.40000000000001,3.6,88.8,96.8,97.2,97
3100000US11180,11180,2007,95.7,4.3,99.8,96,100,91.90000000000001
3100000US11180,11180,2008,93.8,6.2,60.3,98.3,97,99.3
3100000US11180,11180,2009,95.40000000000001,4.6,58.8,95.7,100,100
310M100US11180,11180,2010,96.5,3.5,96.5,100,98.59999999999999,89
310M100US11180,11180,2011,95.90000000000001,4.1,94.2,99.09999999999999,95.5,97.40000000000001
310M100US11180,11180,2012,93.8,6.2,97.09999999999999,99.3,100,96.2
310M200US11180,11180,2013,96.90000000000001,3.1,99.3,95.2,92.2,98.2
310M200US11180,11180,2014,97.5,2.5,99.8,100,97.90000000000001,96.90000000000001
310M200US11180,11180,2015,95.40000000000001,4.6,99.59999999999999,99.2,99.3,96.40000000000001
310M300US11180,11180,2016,95.5,4.5,96.40000000000001,100,100,96.40000000000001
3100000US11260,11260,2006,89.3,10.7,90.90000000000001,97.7,93.09999999999999,70.8
3100000US11260,11260,2007,86.7,13.3,86.3,98.59999999999999,93.7,67.90000000000001
3100000US11260,11260,2008,84.2,15.8,39.6,94.59999999999999,97.7,96
3100000US11260,11260,2009,86.3,13.7,35.6,94.5,96.8,93.59999999999999
310M100US11260,11260,2010,84.09999999999999,15.9,93.2,98.59999999999999,97,60.9
310M100US11260,11260,2011,86.3,13.7,91.90000000000001,99.09999999999999,97,66.40000000000001
310M100US11260,11260,2012,83.7,16.3,92.09999999999999,99,94.59999999999999,62.1
310M200US11260,11260,2013,86.59999999999999,13.4,90.2,97.59999999999999,93,73.3
310M200US11260,11260,2014,85.40000000000001,14.6,93.09999999999999,97.8,99.40000000000001,60
310M200US11260,11260,2015,85.3,14.7,85.90000000000001,96.3,94.3,70.40000000000001
310M300US11260,11260,2016,88.2,11.8,91.09999999999999,97.3,97.40000000000001,51.1
3100000US11300,11300,2006,81.3,18.7,94.59999999999999,100,88.40000000000001,69.09999999999999
3100000US11300,11300,2007,85.90000000000001,14.1,90.3,96.09999999999999,95.90000000000001,62.5
3100000US11300,11300,2008,84.40000000000001,15.6,31.8,90.3,94.3,89.40000000000001
3100000US11300,11300,2009,83.09999999999999,16.9,20,89.3,99.59999999999999,93.09999999999999
310M100US11300,11300,2010,84.8,15.2,88.40000000000001,87.2,89.40000000000001,68.8
310M100US11300,11300,2011,80.90000000000001,19.1,88.59999999999999,93.8,94.2,68.40000000000001
310M100US11300,11300,2012,84.09999999999999,15.9,97.7,96.5,94.2,78.3
3100000US11340,11340,2006,88.2,11.8,93.90000000000001,99.5,92.2,56.8
3100000US11340,11340,2007,85,15,94.40000000000001,98.8,86.59999999999999,56.1
3100000US11340,11340,2008,80.7,19.3,59,96.7,100,95.2
3100000US11340,11340,2009,88.2,11.8,53.8,98.3,100,96.40000000000001
310M100US11340,11340,2010,81.8,18.2,99.09999999999999,99,97.2,79.59999999999999
310M100US11340,11340,2011,89.8,10.2,95.8,94.90000000000001,98.3,63.3
310M100US11340,11340,2012,87.59999999999999,12.4,92.8,97.2,95.5,67.59999999999999
3100000US11460,11460,2006,89.7,10.3,93.09999999999999,98.7,97.09999999999999,91.40000000000001
3100000US11460,11460,2007,88.5,11.5,95.8,96.59999999999999,96.2,93.90000000000001
3100000US11460,11460,2008,88.5,11.5,66,98,99.09999999999999,99.3
3100000US11460,11460,2009,89.7,10.3,60.5,98.3,98.59999999999999,99.40000000000001
310M100US11460,11460,2010,89.2,10.8,98.09999999999999,99.90000000000001,98.90000000000001,94.5
310M100US11460,11460,2011,90.09999999999999,9.9,97.5,98.59999999999999,97.90000000000001,93.09999999999999
310M100US11460,11460,2012,89.90000000000001,10.1,97.7,99.7,98.09999999999999,88.90000000000001
310M200US11460,11460,2013,90.3,9.699999999999999,97.2,97.40000000000001,95.3,90.2
310M200US11460,11460,2014,88.7,11.3,98,98.09999999999999,98.40000000000001,90.90000000000001
310M200US11460,11460,2015,90.3,9.699999999999999,96.09999999999999,98.59999999999999,99.09999999999999,90.09999999999999
310M300US11460,11460,2016,91.40000000000001,8.6,97.59999999999999,99.59999999999999,99.5,91.3
3100000US11500,11500,2006,91,9,95.5,95.2,94.3,82.3
3100000US11500,11500,2007,89.7,10.3,87.8,97.09999999999999,92,81.90000000000001
3100000US11500,11500,2008,85.90000000000001,14.1,37.2,97.59999999999999,99.2,93.59999999999999
3100000US11500,11500,2009,91.5,8.5,26.6,95.40000000000001,97.59999999999999,84.7
310M100US11500,11500,2010,87.5,12.5,90.2,99.09999999999999,95.2,78.2
310M100US11500,11500,2011,90.40000000000001,9.6,91.40000000000001,99.09999999999999,99.09999999999999,85.2
310M100US11500,11500,2012,91.40000000000001,8.6,98,100,95.90000000000001,73.40000000000001
310M200US11500,11500,2013,89.90000000000001,10.1,98.40000000000001,99.59999999999999,94.5,75.90000000000001
310M200US11500,11500,2014,90.3,9.699999999999999,97.40000000000001,100,91.3,75.59999999999999
310M200US11500,11500,2015,89.59999999999999,10.4,97.7,97.40000000000001,99.09999999999999,79.8
310M300US11500,11500,2016,89.59999999999999,10.4,97,99.59999999999999,96.3,83
3100000US11540,11540,2006,81.3,18.7,94.5,99,96.40000000000001,73
3100000US11540,11540,2007,83,17,91.90000000000001,98.59999999999999,96.5,80.2
3100000US11540,11540,2008,82.59999999999999,17.4,44.1,95.3,98.09999999999999,98.5
3100000US11540,11540,2009,85.59999999999999,14.4,35.5,95.40000000000001,95.40000000000001,98.09999999999999
310M100US11540,11540,2010,83.7,16.3,98.3,98.3,99,73
310M100US11540,11540,2011,83.59999999999999,16.4,94.90000000000001,99.5,99.09999999999999,70.09999999999999
310M100US11540,11540,2012,83.3,16.7,97.2,98.59999999999999,99.3,82.59999999999999
310M200US11540,11540,2013,82.7,17.3,95,99.3,99.40000000000001,74.7
310M200US11540,11540,2014,85.40000000000001,14.6,96.2,98.09999999999999,99.8,74.09999999999999
310M200US11540,11540,2015,86.8,13.2,96.7,99.40000000000001,97.2,77.5
310M300US11540,11540,2016,87.90000000000001,12.1,96.09999999999999,99.3,98.40000000000001,81.90000000000001
310M200US11640,11640,2013,72.5,27.5,96,99.7,98.40000000000001,76.5
