GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
3100000US10780,10780,2009,9.5,8.9,12.9,11.6,16.8,17.4,11.1,8.199999999999999,2.1,1.4,39530,54111
310M100US10780,10780,2010,8.699999999999999,11.4,14.4,9.199999999999999,17.6,16.3,10.9,8.1,2.2,1.2,40017,55139
310M100US10780,10780,2011,11.4,9.6,13.8,14.1,16.5,13.1,11.4,7.7,1.5,.8,35692,48177
310M100US10780,10780,2012,10.5,7.3,14.1,11.8,15.2,17.9,11.2,8.699999999999999,1.6,1.8,40896,53016
310M200US10780,10780,2013,10.8,6.3,13.9,13.4,15,17.1,7.7,10,3.1,2.8,39960,57562
310M200US10780,10780,2014,10.8,6.4,15.5,11.7,13.6,15.1,11.8,11.4,2.2,1.6,40209,55290
310M200US10780,10780,2015,9.1,8.800000000000001,12.8,11.7,14.1,19.1,9.6,9.300000000000001,2.4,3.1,42778,58070
310M300US10780,10780,2016,10.3,6.2,14.3,11.6,13.4,16.8,10.8,9.699999999999999,3.4,3.5,42136,62594
3100000US10880,10880,2006,5.8,4.2,10.7,10.7,17.7,24.9,13.8,9.199999999999999,1.3,1.8,50558,59015
3100000US10880,10880,2007,5.6,7.6,10,11,14.8,24.1,14.5,9.199999999999999,1.8,1.3,50730,59168
3100000US10880,10880,2008,6.4,5.1,9.6,11.8,18.3,22.6,13.4,9.300000000000001,1.7,2,49201,58803
3100000US10880,10880,2009,4.7,5.8,9.4,13.7,16.1,24.8,13.7,8.4,2,1.3,50316,59962
310M100US10880,10880,2010,7.3,4.7,12.9,12.4,18.5,21.1,11.4,9,1.5,1.2,44847,55269
310M100US10880,10880,2011,4.5,6.9,11.1,8.6,18.3,20.4,14.9,10.4,3,1.9,50508,61852
310M100US10880,10880,2012,5.8,6.7,11.9,10.6,15,23.2,12.2,10.3,2.5,1.9,50078,62955
3100000US10900,10900,2006,6.1,5.5,10.8,10.6,15.3,19.2,13.3,12.6,4.1,2.5,51464,65491
3100000US10900,10900,2007,4.5,5,11.5,9.800000000000001,14.1,21.6,13.4,13.3,4.2,2.8,55038,67604
3100000US10900,10900,2008,4.8,4.8,9.199999999999999,9.800000000000001,13.6,20.5,14.6,14.5,4.6,3.6,58811,74190
3100000US10900,10900,2009,5.1,5.2,9.699999999999999,10,14.2,20.4,14.3,13.4,4.4,3.1,56802,70284
310M100US10900,10900,2010,6.4,5,10.6,9.5,13.6,19.4,13.6,13.7,4.6,3.6,55630,70379
310M100US10900,10900,2011,5.9,5.5,11,10,13.6,19,13.1,13.7,4.6,3.6,54169,70738
310M100US10900,10900,2012,5.1,4.9,9.5,9.9,14.5,20.3,14.4,13.3,4.7,3.3,55766,71171
310M200US10900,10900,2013,5.9,5,9.9,9.5,14,18.7,13.4,13.7,5.5,4.5,56543,74355
310M200US10900,10900,2014,4.9,4.5,9.9,8.9,12.8,20.5,13.4,15.4,5,4.8,60320,77183
310M200US10900,10900,2015,4.4,3.9,9.4,9.5,13.6,19.6,13.8,14.9,6.1,4.9,60671,78853
310M300US10900,10900,2016,3.9,4.4,9.1,9.699999999999999,12.3,19,13.1,16.3,6.6,5.6,63022,82857
3100000US11020,11020,2006,7.8,9.1,14.2,13.6,17.3,20.1,9.800000000000001,6.3,.8,1,40730,49084
3100000US11020,11020,2007,9.5,5.2,13.6,13.7,16.9,21,9.9,8,1.3,1,42509,51495
3100000US11020,11020,2008,7.6,9.800000000000001,16,12.4,15,18.8,10.5,7,1.5,1.4,40333,52558
3100000US11020,11020,2009,7.8,8.800000000000001,16.4,13.9,13.2,18.2,9.6,8.6,1.8,1.7,38455,54710
310M100US11020,11020,2010,7.7,7.3,13.9,13.2,14.6,21.2,11.3,6.4,2.3,2,42990,55750
310M100US11020,11020,2011,8.199999999999999,5.8,14.9,10.7,18.8,21.6,8.4,8.699999999999999,1.2,1.7,43136,53895
310M100US11020,11020,2012,8.1,7.1,13.6,12.6,16.1,21.3,9.1,8.1,1.8,2.2,41258,53745
310M200US11020,11020,2013,8.1,6.8,13,13.5,14.5,17.1,13.3,8.9,2.2,2.6,42164,56985
310M200US11020,11020,2014,8,6.7,14.2,12.2,14.7,18.2,13.8,7.8,2.2,2.1,44019,57033
310M200US11020,11020,2015,8,7.2,12.3,11.2,14.7,19.2,12.6,9.6,2.8,2.4,45432,58940
310M300US11020,11020,2016,6.5,6.3,12.3,14,16.5,19.7,11.7,8.800000000000001,2.5,1.6,43443,58867
3100000US11100,11100,2006,9.6,7.5,12.8,13.6,15.1,18.8,11,7.8,2.1,1.7,40969,54713
3100000US11100,11100,2007,8,6.2,16.4,12.6,14.3,17.3,11.1,9.300000000000001,2,2.8,42065,58366
3100000US11100,11100,2008,8.4,6.6,11.9,11.2,13.9,20.7,12.8,8.1,3.5,2.8,47822,61697
3100000US11100,11100,2009,9.4,6.7,12.4,12.8,14.5,20,10.8,8.5,2.7,2.3,43373,57878
310M100US11100,11100,2010,6.4,7,12.4,12.1,14.7,21,13,8.6,2.2,2.5,46390,59604
310M100US11100,11100,2011,6.9,7.1,13.8,11.7,13.1,18.1,11.2,11.7,3.6,2.8,47350,62562
310M100US11100,11100,2012,8.300000000000001,7.2,12.8,11.2,14.4,18.1,11.5,10.8,3.5,2.3,46434,58898
310M200US11100,11100,2013,7.6,5.7,11.4,10.2,15.7,17.3,11.7,13.5,4.7,2.3,49207,68852
310M200US11100,11100,2014,6.9,5,11.3,12.4,13.2,17.3,12.5,14.4,4.3,2.8,51280,70037
310M200US11100,11100,2015,5,5.4,12.1,10.6,14.3,19.5,12.6,12.6,4.4,3.5,51734,70285
310M300US11100,11100,2016,6.6,3.9,9.6,12,13,20.6,12.1,12.5,5.1,4.7,54478,75315
3100000US11180,11180,2006,8.800000000000001,7.2,11.7,14.7,14.5,19,10.7,10.4,2.1,1.1,43326,54878
3100000US11180,11180,2007,7.3,5,11.6,13.4,14.9,18.3,12.7,10.2,2.8,3.7,47827,63716
3100000US11180,11180,2008,8.300000000000001,6.6,14.1,9.5,12.9,18.3,14.4,10.7,3.1,1.9,48076,60420
3100000US11180,11180,2009,9,6,12.7,10.5,15.7,17.1,13.1,10.9,3.3,1.8,45516,61801
310M100US11180,11180,2010,8.5,6.4,12.5,10.2,14.7,18.6,13,10.6,3,2.5,48034,61573
310M100US11180,11180,2011,13.1,6.9,9,10.6,14.1,18.1,11.5,10.2,3.8,2.7,45866,59867
310M100US11180,11180,2012,11,7.1,12.5,8,11.7,19.3,13.3,10.7,4.2,2.1,49489,60560
310M200US11180,11180,2013,11.2,7.2,8.9,7.7,14.7,19.1,12.3,12.7,4.1,2.1,50279,63311
310M200US11180,11180,2014,10.6,5.5,13.1,10.7,11.7,16.3,11.9,12.9,2.8,4.4,46091,64148
310M200US11180,11180,2015,9.9,4.1,12.4,9.300000000000001,12.4,18.8,13.1,10.6,3.7,5.7,50811,69284
310M300US11180,11180,2016,10.6,4.3,13.5,6.6,11.9,15.8,11.1,17.3,4.2,4.7,53371,70682
3100000US11260,11260,2006,3.9,4.5,7.8,9.300000000000001,14.2,20.4,15.5,14.1,6,4.3,62513,79076
3100000US11260,11260,2007,3.2,3.9,7.2,8,12.4,20.1,16.5,17.7,6.5,4.6,67995,84131
